physician_id,urban_population_perc_in_physician_locality,percent_population_with_health_insurance_in_last10q,physician_gender,physician_tenure,physician_age,physician_speciality
2183,1,0.45,F,31,57,nephrology
2184,1,0.03,M,31,59,other
2185,0.85,0.92,M,31,60,nephrology
2186,0.74,0.85,M,31,59,other
2187,1,0.42,M,30,63,nephrology
2188,1,0.3,M,29,56,nephrology
2189,1,0.03,M,29,57,other
2190,0.79,0.54,M,44,70,nephrology
2191,1,0.16,M,40,69,nephrology
2192,0.93,0.84,F,39,65,nephrology
2193,0.68,0.93,M,35,60,nephrology
2194,1,0.16,M,33,64,nephrology
2195,1,0.92,M,33,72,urology
2196,1,0.88,F,32,57,nephrology
2197,1,0.9,M,32,58,nephrology
2198,0.98,0.95,M,32,58,nephrology
2199,1,0.9,M,32,58,nephrology
2200,0.92,0.96,M,31,57,nephrology
2201,0.68,0.78,M,31,58,other
2202,1,0.93,M,31,57,nephrology
2203,1,0.88,F,31,59,nephrology
2204,0.97,0.88,F,30,56,nephrology
2205,0.91,0.89,F,30,57,nephrology
2206,1,0.93,F,30,58,nephrology
2207,1,0.88,F,29,57,nephrology
2208,0.92,0.83,F,29,57,nephrology
2209,1,0.91,M,31,57,nephrology
2210,0.69,0.89,M,31,63,nephrology
2211,0.64,0.94,M,30,60,nephrology
2212,1,0.95,M,29,55,nephrology
2213,1,0.89,M,29,63,nephrology
2214,1,0.78,M,36,60,nephrology
2215,0.95,0.9,M,33,60,nephrology
2216,1,0.13,F,32,60,nephrology
2217,0.65,0.93,M,32,60,urology
2218,0.62,0.94,M,31,61,nephrology
2219,1,0.92,M,31,58,nephrology
2220,1,0.3,M,31,57,nephrology
2221,1,0.6,M,31,60,nephrology
2222,0.68,0.95,M,30,58,nephrology
2223,1,0.12,M,29,54,nephrology
2224,1,0.85,M,29,62,nephrology
2225,1,0.16,F,29,56,nephrology
2226,1,0.46,M,42,72,nephrology
2227,1,0.15,M,40,66,other
2228,1,0.23,M,35,61,nephrology
2229,1,0.9,M,32,60,nephrology
2230,1,0.13,F,32,60,nephrology
2231,1,0.95,M,31,59,nephrology
2232,1,0.86,M,30,68,nephrology
2233,1,0.3,M,30,57,nephrology
2234,1,0.13,F,30,56,nephrology
2235,1,0.59,F,30,62,nephrology
2236,1,0.13,F,29,55,nephrology
2237,0.54,0.03,M,29,62,nephrology
2238,0.6,0.23,M,29,57,other
2239,1,0.22,M,38,64,nephrology
2240,1,0.28,F,36,61,other
2241,0.94,0.3,M,30,56,nephrology
2242,0.75,0.01,F,30,57,nephrology
2243,0.91,0.4,M,29,55,urology
2244,1,0.93,F,46,72,nephrology
2245,0.96,0.91,M,44,69,nephrology
2246,1,0.92,M,39,66,other
2247,0.93,0.22,F,38,65,nephrology
2248,0.99,0.97,M,35,60,other
2249,1,0.28,M,33,59,nephrology
2250,0.92,0.92,F,33,59,urology
2251,1,0.9,F,32,69,nephrology
2252,1,0.92,M,32,58,nephrology
2253,1,0.84,M,31,57,nephrology
2254,0.91,0.94,M,36,62,nephrology
2255,1,0.93,F,34,61,nephrology
2256,0.98,0.98,F,30,58,nephrology
2257,0.9,0.97,M,53,78,nephrology
2258,1,0.97,M,49,74,nephrology
2259,0.94,0.96,M,45,71,other
2260,1,1,M,42,68,nephrology
2261,1,0.01,F,36,62,urology
2262,1,0.39,M,34,63,nephrology
2263,1,0.98,M,30,57,nephrology
2264,1,0.55,M,29,56,nephrology
2265,1,0.98,M,29,58,nephrology
2266,1,0.97,M,36,60,nephrology
2267,0.97,0.93,M,34,60,nephrology
2268,1,0.94,M,34,60,nephrology
2269,1,0.1,M,32,59,nephrology
2270,0.61,0.95,M,32,56,nephrology
2271,1,0.14,M,30,61,nephrology
2272,1,0.89,F,49,74,urology
2273,1,0.38,M,48,73,nephrology
2274,1,0.99,M,44,70,nephrology
2275,1,0.94,M,34,63,urology
2276,1,0.97,F,33,61,nephrology
2277,1,0.33,F,33,59,nephrology
2278,0.29,0.89,M,33,60,other
2279,0.83,0.97,F,32,61,other
2280,0.97,0.9,F,31,61,urology
2281,0.99,0.97,F,30,60,nephrology
2282,1,0.96,F,35,63,nephrology
2283,1,0.43,F,33,65,nephrology
2284,1,0.98,M,32,59,nephrology
2285,1,0.96,F,32,62,nephrology
2286,1,0.97,M,32,58,nephrology
2287,0.72,0.88,F,32,62,nephrology
2288,0.96,0.91,M,31,57,nephrology
2289,0.97,0.96,M,31,58,nephrology
2290,0.97,0.96,M,30,56,nephrology
2291,0.99,0.9,M,30,56,nephrology
2292,0.98,0.81,M,29,56,urology
2293,1,0.94,M,39,65,other
2294,1,0.82,M,33,62,nephrology
2295,0.82,0.19,M,33,61,nephrology
2296,0.67,0.92,M,32,61,other
2297,0.58,0.3,M,31,56,nephrology
2298,1,0.88,F,31,57,nephrology
2299,0.42,0.25,M,31,57,urology
2300,1,0.98,M,30,56,nephrology
2301,1,0.23,M,29,55,other
2302,0.94,0.98,M,39,66,nephrology
2303,1,0.97,F,33,62,nephrology
2304,0.46,0.3,F,33,59,nephrology
2305,1,0.92,F,33,59,nephrology
2306,1,0.94,M,33,61,nephrology
2307,0.6,0.86,M,33,60,nephrology
2308,1,0.02,M,32,63,nephrology
2309,0.87,0.56,M,32,59,nephrology
2310,1,0.97,F,32,68,nephrology
2311,1,0.94,F,32,59,nephrology
2312,0.98,0.16,M,31,57,other
2313,1,0.94,F,31,64,nephrology
2314,1,0.42,M,31,57,nephrology
2315,1,0.9,M,31,70,nephrology
2316,1,0.93,F,31,68,nephrology
2317,1,0.96,M,30,57,nephrology
2318,1,0.9,F,30,60,nephrology
2319,0.77,0.92,M,30,58,urology
2320,0.65,0.93,F,30,57,nephrology
2321,1,0.94,M,30,56,nephrology
2322,1,0.94,F,30,57,nephrology
2323,1,0.94,M,30,58,nephrology
2324,1,0.93,F,29,60,nephrology
2325,0.99,0.42,M,29,59,nephrology
2326,0.94,0.92,M,35,77,nephrology
2327,1,0.29,M,34,63,nephrology
2328,1,0.5,M,34,65,nephrology
2329,0.9,0.25,F,33,59,nephrology
2330,0.85,0.9,M,33,68,nephrology
2331,1,0.87,M,32,62,nephrology
2332,0.94,0.93,F,32,60,nephrology
2333,0.95,0.9,M,30,56,nephrology
2334,0.88,0.88,M,30,56,other
2335,0.95,0.91,M,30,58,nephrology
2336,1,0.97,M,30,70,nephrology
2337,1,0.96,F,29,56,nephrology
2338,0.64,0.04,M,29,58,nephrology
2339,1,0.41,M,48,78,urology
2340,1,0.19,M,43,69,nephrology
2341,1,0.09,F,33,61,nephrology
2342,0.92,0.89,M,33,61,nephrology
2343,0.9,0.36,M,33,61,nephrology
2344,0.95,0.26,M,33,60,nephrology
2345,1,0.19,M,33,61,nephrology
2346,0.92,0.34,M,32,59,other
2347,1,0.02,M,32,60,nephrology
2348,1,0.35,M,32,65,nephrology
2349,0.36,0.87,F,32,63,nephrology
2350,1,0.41,M,32,62,urology
2351,0.89,0.17,M,32,60,other
2352,1,0.56,F,31,58,nephrology
2353,1,0.23,F,31,56,nephrology
2354,1,0.4,M,29,56,nephrology
2355,1,0.6,F,29,57,nephrology
2356,1,0.49,F,29,64,urology
2357,0.98,0.5,F,29,58,nephrology
2358,0.89,0.18,M,29,63,nephrology
2359,0.98,0.08,M,29,64,nephrology
2360,1,0.35,F,35,71,nephrology
2361,0.95,0.25,F,32,63,nephrology
2362,1,0.86,M,37,63,nephrology
2363,0.99,0.9,F,31,65,nephrology
2364,1,0.94,M,30,56,urology
2365,0.94,0.94,M,34,60,nephrology
2366,1,0.43,M,34,62,nephrology
2367,1,0.08,M,33,61,nephrology
2368,0.67,0.95,M,32,58,other
2369,1,0.31,M,30,56,nephrology
2370,0.99,0.21,M,30,56,nephrology
2371,0.97,0.96,M,29,54,other
2372,1,0.08,M,37,65,nephrology
2373,1,0.21,M,36,62,nephrology
2374,0.69,0.15,F,35,62,nephrology
2375,1,0.11,F,32,59,nephrology
2376,0.77,0.27,M,31,57,nephrology
2377,1,0.16,F,31,57,nephrology
2378,0.96,0.97,F,44,70,nephrology
2379,1,0.01,M,34,61,nephrology
2380,1,0.45,F,34,59,nephrology
2381,0.98,0.39,F,32,59,other
2382,1,0.28,M,31,57,nephrology
2383,0.99,0.35,M,30,65,nephrology
2384,1,0.89,M,29,56,nephrology
2385,1,0.59,F,29,56,other
2386,0.88,0.29,M,29,62,nephrology
2387,0.95,0.9,F,35,61,nephrology
2388,1,0.09,M,32,56,nephrology
2389,1,0.14,M,32,56,other
2390,1,0.42,M,31,56,nephrology
2391,0.83,0.56,M,30,54,nephrology
2392,1,0.01,M,30,54,nephrology
2393,0.7,0.05,M,29,53,nephrology
2394,0.95,0.39,M,50,76,nephrology
2395,0.99,0.92,M,43,69,nephrology
2396,1,0.9,M,41,69,other
2397,1,0.76,M,37,64,nephrology
2398,0.88,0.91,F,32,58,nephrology
2399,1,0.95,F,32,72,nephrology
2400,0.99,0.01,F,30,60,nephrology
2401,1,0.4,M,29,55,nephrology
2402,1,0.02,F,29,57,nephrology
2403,1,0.22,M,51,78,nephrology
2404,1,0.12,M,45,72,other
2405,0.98,0.59,M,33,59,other
2406,1,0.47,M,33,63,nephrology
2407,0.98,0.09,M,30,57,nephrology
2408,0.75,0.37,F,30,55,other
2409,0.79,0.41,M,30,56,other
2410,0.79,0.82,M,30,58,nephrology
2411,0.92,0.42,M,29,56,urology
2412,0.48,0.95,M,48,73,nephrology
2413,0.92,0.95,M,39,66,nephrology
2414,0.58,0.98,F,35,62,nephrology
2415,1,0.85,F,34,61,nephrology
2416,0.97,0.93,F,32,60,nephrology
2417,1,0.37,M,31,57,nephrology
2418,1,0.92,M,31,59,nephrology
2419,1,0.75,F,31,63,nephrology
2420,0.98,0.96,M,30,56,urology
2421,0.93,0.97,M,30,57,nephrology
2422,1,0.96,M,30,57,nephrology
2423,0.56,0.97,F,30,61,nephrology
2424,1,0.91,M,35,62,urology
2425,1,0.94,M,34,60,nephrology
2426,0.74,0.9,F,33,60,nephrology
2427,1,0.95,F,32,66,nephrology
2428,0.99,0.93,M,31,57,nephrology
2429,1,0.96,M,31,57,nephrology
2430,0.96,0.96,M,30,58,nephrology
2431,0.94,0.95,M,30,60,other
2432,1,0.95,M,41,70,nephrology
2433,1,0.29,F,33,62,other
2434,1,0.97,M,32,72,nephrology
2435,1,0.89,M,31,62,nephrology
2436,1,0.85,M,29,59,nephrology
2437,1,0.54,M,29,62,nephrology
2438,0.99,0.96,M,35,59,nephrology
2439,1,0.67,M,33,57,nephrology
2440,1,0.42,M,33,60,nephrology
2441,1,0.98,M,33,62,nephrology
2442,0.15,0.92,M,31,67,nephrology
2443,0.8,0.83,M,29,55,other
2444,0.76,0.94,M,44,69,nephrology
2445,1,0.96,M,36,62,nephrology
2446,0.94,0.96,M,32,59,nephrology
2447,0.94,0.96,M,32,58,nephrology
2448,1,0.92,M,32,68,nephrology
2449,1,0.18,M,30,56,nephrology
2450,0.94,0.96,M,30,60,nephrology
2451,1,0.94,F,30,55,other
2452,1,0.89,M,29,55,nephrology
2453,1,0.85,F,29,55,nephrology
2454,1,0.18,M,43,71,nephrology
2455,1,0.86,M,42,67,nephrology
2456,0.99,0.96,M,36,62,nephrology
2457,1,0.96,F,34,59,nephrology
2458,1,0.96,M,32,64,nephrology
2459,1,0.89,M,31,61,nephrology
2460,1,0.75,F,31,57,nephrology
2461,1,0.94,M,30,56,nephrology
2462,0.71,0.96,M,30,55,nephrology
2463,1,0.89,M,29,57,nephrology
2464,1,0.96,M,44,68,nephrology
2465,1,0.96,M,42,67,nephrology
2466,1,0.99,F,38,61,nephrology
2467,1,0.82,M,32,59,nephrology
2468,1,0.58,M,32,62,other
2469,0.68,0.95,M,31,61,urology
2470,1,0.93,M,31,57,other
2471,1,0.49,M,30,56,other
2472,0.85,0.95,F,30,62,nephrology
2473,1,0.94,F,46,75,nephrology
2474,0.76,0.11,M,37,63,nephrology
2475,1,0.95,M,32,58,nephrology
2476,0.81,0.96,M,32,58,nephrology
2477,1,0.97,M,32,61,nephrology
2478,0.89,0.95,M,31,57,other
2479,1,0.96,M,31,57,nephrology
2480,1,0.96,F,55,83,nephrology
2481,1,0.52,M,46,72,nephrology
2482,1,0.95,M,41,67,nephrology
2483,1,0.94,M,39,65,nephrology
2484,1,0.96,M,38,70,nephrology
2485,1,0.97,F,33,61,nephrology
2486,1,0.47,M,14,43,nephrology
2487,0.92,0.9,F,31,57,nephrology
2488,1,0.92,M,29,61,urology
2489,1,0.5,M,50,75,other
2490,1,0.97,F,41,67,nephrology
2491,1,0.84,M,36,64,nephrology
2492,1,0.97,M,34,62,nephrology
2493,1,0.02,M,34,60,nephrology
2494,1,0.96,F,31,58,nephrology
2495,1,0.97,M,52,78,urology
2496,1,0.98,M,52,76,nephrology
2497,1,0.93,M,30,60,other
2498,1,0.45,M,29,58,nephrology
2499,1,0.96,F,43,68,nephrology
2500,0.97,0.95,F,39,65,nephrology
2501,1,0.05,M,38,66,other
2502,1,0.93,M,36,66,other
2503,0.76,0.15,M,32,61,other
2504,1,0.13,M,31,61,nephrology
2505,1,0.92,F,31,62,nephrology
2506,0.99,0.17,F,31,57,urology
2507,1,0.96,F,31,58,nephrology
2508,1,0.95,M,30,57,nephrology
2509,1,0.96,M,29,64,nephrology
2510,1,0.87,F,40,66,nephrology
2511,1,0.92,M,37,63,nephrology
2512,1,0.17,M,36,67,other
2513,1,0.77,M,35,61,nephrology
2514,1,0.97,F,33,60,nephrology
2515,0.96,0.96,F,31,57,nephrology
2516,0.87,0.84,F,30,61,nephrology
2517,1,0.31,M,30,64,nephrology
2518,1,0.97,M,29,55,nephrology
2519,1,0.94,F,36,61,nephrology
2520,1,0.74,F,34,60,nephrology
2521,1,0.84,M,32,58,nephrology
2522,0.88,0.27,M,31,58,nephrology
2523,1,0.9,M,30,56,nephrology
2524,1,0.95,M,30,58,other
2525,0.76,0.94,M,35,62,nephrology
2526,1,0.92,M,34,64,other
2527,1,0.4,M,33,61,nephrology
2528,1,0.91,M,32,59,nephrology
2529,0.88,0.88,M,32,76,nephrology
2530,0.97,0.42,M,31,62,nephrology
2531,0.72,0.83,F,31,62,other
2532,1,0.92,M,29,57,nephrology
2533,0.97,0.8,M,36,63,nephrology
2534,1,0.86,F,35,65,nephrology
2535,1,0.86,F,35,64,nephrology
2536,1,0.91,M,33,60,urology
2537,0.75,0.9,M,33,59,nephrology
2538,1,0.8,F,31,58,nephrology
2539,0,0.14,M,29,55,nephrology
2540,0.8,0.88,F,29,58,nephrology
2541,0.93,0.97,M,39,68,nephrology
2542,1,0.9,M,32,59,nephrology
2543,1,0.94,M,31,58,nephrology
2544,1,0.01,M,32,69,other
2545,1,0.89,M,32,61,nephrology
2546,0.99,0.87,M,31,64,nephrology
2547,0.77,0.82,M,30,62,nephrology
2548,1,0.92,F,30,57,other
2549,0.43,0.83,M,30,66,nephrology
2550,0.74,0.89,M,29,55,other
2551,0.77,0.82,F,29,61,nephrology
2552,0.97,0.21,M,30,56,nephrology
2553,0.49,0.32,M,30,67,nephrology
2554,0.99,0.39,F,30,60,nephrology
2555,1,0.37,F,30,61,nephrology
2556,0.97,0.03,M,29,63,urology
2557,0.97,0.42,M,29,60,nephrology
2558,1,0.86,F,34,69,urology
2559,1,0.44,M,34,64,nephrology
2560,1,0.25,M,32,62,other
2561,1,0.96,F,32,59,nephrology
2562,1,0.43,M,32,60,nephrology
2563,1,0.96,F,31,66,nephrology
2564,1,0.92,F,29,60,nephrology
2565,1,0.24,M,42,68,nephrology
2566,1,0.96,M,42,67,urology
2567,0.98,0.4,F,36,63,nephrology
2568,1,0.94,F,34,60,nephrology
2569,1,0.17,F,33,59,nephrology
2570,1,0.2,M,33,61,nephrology
2571,1,0.85,M,32,58,nephrology
2572,1,0.98,F,32,58,other
2573,0.98,0.94,F,32,59,nephrology
2574,0.95,0.98,M,31,57,nephrology
2575,1,0.88,M,31,62,nephrology
2576,1,0.94,F,31,57,nephrology
2577,1,0.93,F,31,58,urology
2578,0.71,0.92,M,31,59,nephrology
2579,1,0.79,M,29,55,nephrology
2580,1,0.9,M,29,55,other
2581,0.79,0.13,F,39,72,other
2582,1,0.89,M,37,63,other
2583,1,0.96,M,36,61,nephrology
2584,1,0.85,M,34,60,other
2585,1,0.93,M,34,60,nephrology
2586,0.82,0.18,M,34,65,nephrology
2587,1,0.99,M,33,65,nephrology
2588,1,0.05,M,32,60,other
2589,1,0.9,M,32,60,nephrology
2590,0.77,0.09,M,32,70,other
2591,0.96,0.11,M,32,60,urology
2592,1,0.84,F,31,65,nephrology
2593,1,0.86,M,30,59,other
2594,1,0.89,F,30,56,nephrology
2595,0.73,0.8,M,29,67,nephrology
2596,1,0.96,F,29,57,urology
2597,1,0.93,F,41,67,nephrology
2598,1,0.87,F,37,70,other
2599,0.88,0.95,F,36,70,nephrology
2600,0.97,0.95,F,34,68,nephrology
2601,1,0.93,F,34,60,nephrology
2602,1,0.92,F,33,64,urology
2603,0.59,0.93,M,32,59,nephrology
2604,1,0.85,F,32,60,nephrology
2605,1,0.93,M,32,60,nephrology
2606,0.55,0.94,F,31,69,other
2607,1,0.93,M,31,65,nephrology
2608,0.71,0.92,F,31,60,nephrology
2609,0.65,0.84,F,32,57,nephrology
2610,1,0.78,M,32,58,nephrology
2611,0.93,0.94,M,31,59,nephrology
2612,1,0.57,M,31,56,nephrology
2613,0.51,0.96,M,29,54,nephrology
2614,1,0.34,F,29,54,nephrology
2615,0.97,0.97,F,32,58,other
2616,0.81,0.3,F,32,61,urology
2617,0.93,0.92,F,32,81,other
2618,1,0.91,M,31,58,other
2619,0.94,0.96,M,31,58,nephrology
2620,0.93,0.92,F,31,68,nephrology
2621,0.85,0.95,M,31,59,nephrology
2622,0.83,0.54,M,59,85,nephrology
2623,0.87,0.17,M,41,69,nephrology
2624,1,0.44,M,41,69,nephrology
2625,1,0.31,M,39,64,nephrology
2626,0.86,0.03,M,38,63,other
2627,1,0.98,M,38,64,nephrology
2628,0.92,0.46,M,36,62,nephrology
2629,1,0.14,M,34,60,other
2630,1,0.31,F,34,61,other
2631,1,0.53,M,33,64,nephrology
2632,1,0.24,M,32,59,other
2633,1,0.25,M,32,66,nephrology
2634,1,0.97,F,32,59,other
2635,0.87,0.23,M,32,67,nephrology
2636,0.53,0.25,M,31,56,nephrology
2637,0.75,0.15,M,31,57,other
2638,0,0.37,M,31,60,other
2639,0.76,0.15,M,30,57,nephrology
2640,0.98,0.58,M,30,58,nephrology
2641,1,0.24,F,30,64,nephrology
2642,1,0.04,M,30,59,nephrology
2643,0.98,0.48,M,29,64,nephrology
2644,1,0.24,M,33,64,nephrology
2645,1,0.05,M,31,62,nephrology
2646,1,0.46,M,30,61,other
2647,0.89,0.96,M,29,55,other
2648,1,0.6,M,54,80,nephrology
2649,1,0.19,M,46,71,nephrology
2650,1,0.98,M,42,68,nephrology
2651,1,0.99,M,41,67,nephrology
2652,0.99,0.9,F,41,66,nephrology
2653,1,0.95,M,35,65,nephrology
2654,0.69,0.92,F,34,61,nephrology
2655,1,0.96,M,34,59,urology
2656,1,0.87,F,32,59,nephrology
2657,1,0.36,M,30,60,nephrology
2658,1,0.94,M,46,71,nephrology
2659,1,0.93,F,40,73,nephrology
2660,0.85,0.93,F,38,62,urology
2661,1,0.96,M,35,62,nephrology
2662,1,0.85,M,30,57,urology
2663,0.9,0.11,M,29,64,nephrology
2664,1,0.88,M,29,56,nephrology
2665,1,0.96,F,41,67,nephrology
2666,1,0.84,F,34,58,other
2667,0.55,0.92,M,34,61,nephrology
2668,1,0.17,M,34,66,urology
2669,1,0.97,F,32,57,nephrology
2670,1,0.95,F,31,60,nephrology
2671,1,0.96,M,31,59,nephrology
2672,1,0.59,M,31,62,nephrology
2673,1,0.97,M,31,55,nephrology
2674,0.82,0.95,F,29,55,nephrology
2675,1,0.97,M,41,66,nephrology
2676,1,0.94,M,38,64,nephrology
2677,0.44,0.92,M,38,65,nephrology
2678,0.86,0.3,M,35,63,nephrology
2679,1,0.89,M,32,58,nephrology
2680,1,0.37,F,29,65,urology
2681,1,0.97,M,29,57,nephrology
2682,1,0.99,M,49,75,nephrology
2683,0.82,0.95,M,45,71,other
2684,0.99,0.15,M,35,61,nephrology
2685,1,0.28,F,34,60,nephrology
2686,0.81,0.96,F,34,60,nephrology
2687,0.82,0.94,F,31,57,other
2688,1,0.92,M,31,58,nephrology
2689,1,0.92,M,53,79,nephrology
2690,1,0.94,M,43,72,nephrology
2691,1,0.16,M,43,72,nephrology
2692,1,0.92,M,40,66,nephrology
2693,0.99,0.25,F,34,66,nephrology
2694,1,0.97,F,34,63,nephrology
2695,0.99,0.93,M,33,62,nephrology
2696,1,0.99,F,32,61,nephrology
2697,1,0.19,M,32,58,nephrology
2698,1,0.94,M,32,61,nephrology
2699,1,0.57,F,32,63,nephrology
2700,0.99,0.94,F,31,64,nephrology
2701,1,0.97,M,31,66,nephrology
2702,1,0.86,M,31,57,nephrology
2703,0.86,0.91,M,30,56,nephrology
2704,1,0.82,M,30,56,nephrology
2705,1,0.97,M,30,56,nephrology
2706,1,0.89,F,30,55,nephrology
2707,1,0.92,F,30,56,nephrology
2708,0.64,0.94,M,29,55,nephrology
2709,0.93,0.85,M,36,61,nephrology
2710,1,0.89,F,32,57,nephrology
2711,0.59,0.92,M,29,55,urology
2712,0.74,0.96,M,33,63,nephrology
2713,1,0.82,M,30,56,nephrology
2714,0.69,0.99,M,29,56,nephrology
2715,0.97,0.91,M,33,61,nephrology
2716,1,0.87,M,32,59,urology
2717,0.6,0.86,M,32,67,nephrology
2718,1,0.95,F,31,57,other
2719,1,0.91,M,32,59,urology
2720,1,0.87,M,31,64,other
2721,1,0.96,M,29,57,nephrology
2722,0.95,0.96,M,33,60,nephrology
2723,1,0.96,M,44,71,nephrology
2724,0.89,0.84,F,34,68,nephrology
2725,0.66,0.85,M,32,63,nephrology
2726,0.51,0.86,M,29,67,other
2727,1,0.87,M,29,64,nephrology
2728,0.92,0.83,M,33,59,nephrology
2729,0.68,0.47,F,34,60,nephrology
2730,0.77,0.12,M,32,58,nephrology
2731,0.88,0.34,M,32,58,nephrology
2732,1,0.46,M,32,60,nephrology
2733,0.91,0.25,M,31,57,other
2734,0.87,0.39,M,30,56,nephrology
2735,0.9,0.92,M,35,60,nephrology
2736,0.94,0.13,M,35,61,urology
2737,0.95,0.56,F,34,60,nephrology
2738,1,0.28,F,33,64,nephrology
2739,0.95,0.31,M,31,57,urology
2740,0.9,0.12,M,30,58,nephrology
2741,0.99,0.92,M,30,56,urology
2742,1,0.95,M,29,55,nephrology
2743,1,0.95,F,29,56,nephrology
2744,1,0.86,M,47,75,other
2745,0.99,0.9,M,34,61,nephrology
2746,1,0.88,M,33,67,nephrology
2747,0.98,0.95,M,33,59,other
2748,0.77,0.93,M,32,63,nephrology
2749,1,0.95,M,32,71,nephrology
2750,1,0.86,M,32,58,nephrology
2751,0.97,0.9,F,32,72,nephrology
2752,1,0.49,M,32,58,nephrology
2753,1,0.48,F,32,61,nephrology
2754,0.84,0.82,M,31,57,urology
2755,1,0.92,M,31,64,nephrology
2756,1,0.95,M,30,61,nephrology
2757,0.64,0.9,M,30,58,urology
2758,1,0.92,M,29,58,urology
2759,0.56,0.96,F,35,62,nephrology
2760,1,0.94,M,35,64,other
2761,1,0.87,M,33,60,nephrology
2762,1,0.89,M,31,66,nephrology
2763,0.97,0.89,F,31,58,nephrology
2764,0.99,0.92,F,30,59,nephrology
2765,0.21,0.92,M,29,57,urology
2766,1,0.87,F,29,56,other
2767,0.5,0.82,M,29,59,nephrology
2768,0.96,0.88,M,32,60,nephrology
2769,1,0.88,F,31,60,nephrology
2770,0.88,0.86,M,29,56,nephrology
2771,0.77,0.93,M,29,77,nephrology
2772,1,0.82,F,29,57,nephrology
2773,1,0.09,M,40,66,other
2774,0.99,0.53,F,39,65,nephrology
2775,0.99,0.59,M,35,60,nephrology
2776,1,0.92,M,34,60,nephrology
2777,0.96,0.27,M,33,60,nephrology
2778,1,0.37,M,32,58,nephrology
2779,1,0.42,F,32,58,nephrology
2780,1,0.44,F,31,60,other
2781,1,0.27,M,31,57,nephrology
2782,1,0.17,M,30,59,nephrology
2783,0.73,0.6,M,30,66,urology
2784,0.93,0.94,M,30,64,nephrology
2785,1,0.27,M,30,56,other
2786,1,0.82,M,30,57,nephrology
2787,1,0.92,M,29,58,urology
2788,1,0.37,M,34,59,nephrology
2789,1,0.26,M,29,58,nephrology
2790,0.98,0.22,M,29,56,nephrology
2791,1,0.1,M,29,57,other
2792,1,0.43,F,33,60,nephrology
2793,1,0.04,M,32,57,nephrology
2794,1,0.1,F,32,60,nephrology
2795,1,0.5,F,31,56,nephrology
2796,1,0.33,M,29,55,other
2797,1,0.15,F,47,73,nephrology
2798,1,0.97,M,35,61,nephrology
2799,1,0.35,M,31,61,nephrology
2800,0.97,0.07,M,31,58,urology
2801,0.93,0.85,M,30,57,urology
2802,1,0.3,M,30,70,nephrology
2803,1,0.08,M,30,56,other
2804,0.97,0.02,M,29,55,nephrology
2805,0.99,0.31,F,29,55,nephrology
2806,0.85,0.14,M,36,67,nephrology
2807,1,0.32,M,33,59,other
2808,1,0.75,F,33,64,nephrology
2809,1,0.38,F,32,58,other
2810,1,0.08,F,32,59,nephrology
2811,0,0.56,M,30,61,nephrology
2812,0.85,0.07,M,30,58,nephrology
2813,0.99,0.03,M,30,67,other
2814,1,0.36,M,40,70,nephrology
2815,0.93,0.52,F,33,59,other
2816,0.97,0.25,M,33,59,nephrology
2817,1,0.14,M,33,62,nephrology
2818,1,0.23,F,33,59,nephrology
2819,1,0.6,F,33,59,nephrology
2820,1,0.33,M,32,56,nephrology
2821,1,0.6,F,32,58,nephrology
2822,0.91,0.35,M,32,63,nephrology
2823,0.62,0.38,F,32,59,nephrology
2824,1,0.13,M,31,58,nephrology
2825,0.85,0.95,F,31,62,nephrology
2826,1,0.14,M,31,57,nephrology
2827,0.99,0.54,M,31,57,other
2828,1,0.94,F,31,60,nephrology
2829,0.58,0.45,F,30,57,nephrology
2830,0.86,0.53,M,30,56,other
2831,1,0.17,M,30,56,nephrology
2832,1,0.55,F,30,58,nephrology
2833,0.78,0.46,F,29,55,nephrology
2834,1,0.09,M,29,56,nephrology
2835,1,0.1,F,29,55,other
2836,1,0.11,F,29,55,nephrology
2837,1,0.04,M,29,57,nephrology
2838,1,0.3,M,29,55,nephrology
2839,1,0.09,F,33,58,other
2840,1,0.39,M,33,62,nephrology
2841,1,0.96,F,33,61,nephrology
2842,1,0.92,M,32,59,nephrology
2843,1,0.22,M,30,59,nephrology
2844,0.56,0.13,F,30,57,other
2845,0.52,0.22,M,31,54,nephrology
2846,0.65,0.35,M,29,60,nephrology
2847,1,0.59,M,31,58,nephrology
2848,0.9,0.23,M,31,63,nephrology
2849,1,0.2,M,30,59,nephrology
2850,0.67,0.93,M,29,57,nephrology
2851,0,0.39,M,36,62,nephrology
2852,1,0.85,M,34,65,nephrology
2853,1,0.14,M,48,74,nephrology
2854,0.95,0.31,M,46,71,other
2855,0,0.88,M,40,66,nephrology
2856,1,0.95,M,37,62,nephrology
2857,0.72,0.92,F,36,62,nephrology
2858,0.87,0.92,M,33,58,nephrology
2859,1,0.97,M,31,67,nephrology
2860,0.57,0.88,M,29,55,nephrology
2861,1,0.75,M,46,72,nephrology
2862,0.5,0.87,M,37,62,nephrology
2863,0.83,0.92,M,36,62,nephrology
2864,0.91,0.9,M,33,61,nephrology
2865,1,0.82,F,33,59,other
2866,0,0.92,M,32,58,nephrology
2867,1,0.87,M,30,72,nephrology
2868,0.89,0.97,M,29,65,nephrology
2869,1,0.82,F,29,57,other
2870,0.85,0.96,M,29,57,nephrology
2871,0.96,0.94,M,33,68,nephrology
2872,1,0.87,F,30,59,nephrology
